அது+pron+dem+dist+3sgn+gen	அதன்
இவள்+pron+3sgf+dem+prox+gen	இவளுடைய
இவள்+pron+3sgf+dem+prox+soc	இவளுடன்
இவை+pron+dem+prox+3pln+gen	இவற்றின்
இவை+pron+dem+prox+3pln+soc	இவற்றுடன்
எது+pron+inter+3sgn+gen	எதனது
எது+pron+inter+3sgn+inst	எதனால்
எது+pron+inter+3sgn+soc	எதனுடன்
தான்+pron+3sg+refl+abl	தன்னிடமிருந்து
தான்+pron+3sg+refl+acc	தன்னை
தான்+pron+3sg+refl+dat	தனக்கு
தான்+pron+3sg+refl+gen	தனது
தான்+pron+3sg+refl+gen	தன்னுடைய
தான்+pron+3sg+refl+inst	தன்னால்
தான்+pron+3sg+refl+loc	தன்னிடம்
தான்+pron+3sg+refl+soc	தன்னுடன்
நாங்கள்+pron+1pl+excl+abl	எங்களிடமிருந்து
நாங்கள்+pron+1pl+excl+acc	எங்களை
நாங்கள்+pron+1pl+excl+dat	எங்களுக்கு
நாங்கள்+pron+1pl+excl+gen	எங்களது
நாங்கள்+pron+1pl+excl+gen	எங்களின்
நாங்கள்+pron+1pl+excl+gen	எங்களுடைய
நாங்கள்+pron+1pl+excl+inst	எங்களால்
நாங்கள்+pron+1pl+excl+loc	எங்களிடம்
நாங்கள்+pron+1pl+excl+soc	எங்களுடன்
நான்+pron+1sg+abl	என்னிடமிருந்து
நான்+pron+1sg+acc	என்னை
நான்+pron+1sg+dat	எனக்கு
நான்+pron+1sg+gen	எனது
நான்+pron+1sg+gen	என்னுடைய
நான்+pron+1sg+inst	என்னால்
நான்+pron+1sg+loc	என்னிடம்
நான்+pron+1sg+soc	என்னுடன்
நாம்+pron+1pl+incl+abl	நம்மிடமிருந்து
நாம்+pron+1pl+incl+acc	நம்மை
நாம்+pron+1pl+incl+dat	நமக்கு
நாம்+pron+1pl+incl+gen	நமது
நாம்+pron+1pl+incl+gen	நம்முடைய
நாம்+pron+1pl+incl+inst	நம்மால்
நாம்+pron+1pl+incl+loc	நம்மிடம்
நாம்+pron+1pl+incl+soc	நம்முடன்
நீ+pron+2sg+abl	உன்னிடமிருந்து
நீ+pron+2sg+acc	உன்னை
நீ+pron+2sg+dat	உனக்கு
நீ+pron+2sg+gen	உனது
நீ+pron+2sg+gen	உன்னுடைய
நீ+pron+2sg+inst	உன்னால்
நீ+pron+2sg+loc	உன்னிடம்
நீ+pron+2sg+soc	உன்னுடன்
நீங்கள்+pron+2plh+abl	உங்களிடமிருந்து
நீங்கள்+pron+2plh+acc	உங்களை
நீங்கள்+pron+2plh+dat	உங்களுக்கு
நீங்கள்+pron+2plh+gen	உங்களது
நீங்கள்+pron+2plh+gen	உங்களின்
நீங்கள்+pron+2plh+gen	உங்களுடைய
நீங்கள்+pron+2plh+inst	உங்களால்
நீங்கள்+pron+2plh+loc	உங்களிடம்
நீங்கள்+pron+2plh+soc	உங்களுடன்
நீர்+pron+2sgh+abl	உம்மிடமிருந்து
நீர்+pron+2sgh+acc	உம்மை
நீர்+pron+2sgh+dat	உமக்கு
நீர்+pron+2sgh+gen	உமது
நீர்+pron+2sgh+gen	உம்முடைய
நீர்+pron+2sgh+inst	உம்மால்
நீர்+pron+2sgh+loc	உம்மிடம்
நீர்+pron+2sgh+soc	உம்முடன்
யார்+pron+inter+human+abl	யாரிடமிருந்து
