இந்த+dem+prox+det+lexlemma=நிலை+noun+loc	இந்தநிலையில்
இது+pron+dem+prox+3sgn+lexlemma=மட்டும்+pp-particle+lexlemma=அல்லு+verb+nonfin+sim+neg=ஆது+vpart=∅	இதுமட்டுமல்லாது
அது+pron+dem+dist+3sgn+lexlemma=மட்டும்+pp-particle+lexlemma=அல்லு+verb+nonfin+sim+neg=ஆது+vpart=∅	அதுமட்டுமல்லாது
அது+pron+dem+dist+3sgn+dat+lexlemma=ஏற்ப+pp-particle	அதற்கேற்ப
எனவே+conjunction+foc=தான்	எனவேதான்
வேண்டு+verb+nonfin+sim+futANDadjpart=உம்+comp=என்று+con=ஆல்	வேண்டுமென்றால்
என்ன+pron+inter+comp=என்று	என்னவென்று
இது+pron+dem+prox+3sgn+lexlemma=தவிர+pp-particle	இதுதவிர
அது+pron+dem+dist+3sgn+gen+lexlemma=மூலம்+pp-particle	அதன்மூலம்
இது+pron+dem+prox+3sgn+lexlemma=வரையில்+pp-particle	இதுவரையில்
இது+pron+dem+prox+3sgn+acc+lexlemma=விட+pp-particle	இதைவிட
மட்டும்+pp-particle+lexlemma=அன்று+verb+nonfin+sim+vpart=இ	மட்டுமன்றி
மேற்கண்ட+adj+lexlemma=வாறு+noun+type	மேற்கண்டவாறு
அது+pron+dem+dist+3sgn+same+lexlemma=வேளை+noun+time	அதேவேளை
இல்லை+cop+neg+cond=ஏல்	இல்லையேல்
அனைத்து+quant+all+lexlemma=உலகம்+noun+nom	அனைத்துலக
இது+pron+dem+prox+det+lexlemma=இரண்டு+cardinal	இவ்விரு
இப்படி+adv+lexlemma=ஒரு+cardinal+det	இப்படியொரு
மற்றும்+conjunction+lexlemma=ஒரு+cardinal+det	மற்றுமொரு
ஒன்று+cardinal+lexlemma=ஆண்டு+noun+nom	ஓராண்டு
கட+verb+nonfin+sim+past=த்+adjpart=அ+lexlemma=ஆண்டு+noun+nom	கடந்தாண்டு
அது+pron+dem+dist+3sgn+lexlemma=போன்ற+pp-particle	அதுபோன்ற
அப்படி+adv+lexlemma=ஒரு+cardinal+det	அப்படியொரு
அது+pron+dem+dist+det+lexlemma=வகை+noun+loc	அவ்வகையில்
இது+pron+dem+prox+3sgn+lexlemma=தொடர்பு+noun+cop+adjpart=ஆன	இதுதொடர்பான
இது+pron+dem+prox+3sgn+same+lexlemma=போன்று+pp-particle	இதேபோன்று
அது+pron+dem+dist+3sgn+acc+lexlemma=அடுத்து+pp-particle	அதையடுத்து
அது+pron+dem+dist+3sgn+gen+lexlemma=அடிப்படை+noun+loc	அதனடிப்படையில்
என்+verb+nonfin+sim+inf=அ+sandhik=க்+lexlemma=கூறு+verb+nonfin+sim+vpart=இ	எனக்கூறி
மட்டும்+pp-particle+lexlemma=இல்லை+cop+neg+vpart=மல்	மட்டுமில்லாமல்
இது+pron+dem+prox+3sgn+acc+lexlemma=தொடர்+verb+nonfin+sim+vpart=உ	இதனைத்தொடர்ந்து
அது+pron+dem+dist+3sgn+lexlemma=பற்றி+pp-particle	அதுபற்றி
ஒருவர்+pron+indef+human+3sghe+acc+recip+lexlemma=ஒருவர்+pron+indef+human+3sghe	ஒருவரையொருவர்
தனி+adj+redup+foc=ஏ	தனித்தனியே
நாள்+noun+nom+lexlemma=ஒன்று+cardinal+dat	நாளொன்றுக்கு
ஒரு+cardinal+det+lexlemma=கட்டம்+noun+loc	ஒருகட்டத்தில்
மணி+noun+nom+lexlemma=வரை+pp-particle+time	மணிவரை
ஆண்டு+noun+nom+lexlemma=வரை+pp-particle+time	ஆண்டுவரை
தேதி+noun+nom+lexlemma=அன்று+pp-particle+time	தேதியன்று
நாள்+noun+nom+lexlemma=அன்று+pp-particle+time	நாளன்று
தினம்+noun+gen+lexlemma=அன்று+pp-particle+time	தினத்தன்று
சம்பவம்+noun+gen+lexlemma=அன்று+pp-particle+time	சம்பவத்தன்று
எதிர்+pp-particle+cop+adjpart+PartNoun=அது	எதிரானது
இல்லை+cop+neg+comp=என்று+con=ஆல்	இல்லையென்றால்
முன்னர்+adv+time+foc=ஏ	முன்னரே
எப்படி+adv+inter+indef=ஆவது	எப்படியாவது
எப்போது+adv+time+inter+colloq	எப்போ
இப்படி+adv+foc=தான்	இப்படித்தான்
போல்+pp-particle+add=உம்	போலவும்
ஒவ்வொரு+quant+distrib+lexlemma=ஒருவர்+pron+human+nom+add=உம்	ஒவ்வொருவரும்
ஒன்று+cardinal+nom+foc=தான்	ஒன்றுதான்
எப்படி+adv+inter+add=உம்	எப்படியும்
இவ்வளவு+quant+dem+prox+colloq	இவ்ளோ
ஐயோ+interjection	ஐயோ
எவ்வளவு+quant+inter+indef=ஓ	எவ்வளவோ
அவ்வளவு+quant+dem+dist+foc=தான்	அவ்வளவுதான்
ஆம்+particle+affirm+colloq	ஆமா
இன்று+adv+time+colloq	இன்னைக்கு
ஏன்+adv+inter+voc=டா+colloq	ஏன்டா
எப்போதும்+adv+time+colloq	எப்பவும்
ஏதாவது+quant+indef+colloq	எதாவது
இது+pron+dem+prox+3sgn+lexlemma=போல்+pp-particle	இதுபோல
எங்கு+adv+inter+indef=ஆவது	எங்காவது
என்+verb+nonfin+sim+vpart=உ+comp=என்று+lexlemma=ஒரு+cardinal+det	என்றொரு
காலி+adj+trans=ஆக	காலியாக
என்ன+pron+inter+voc=பா+colloq	என்னப்பா
என்ன+pron+inter+voc=டா+colloq	என்னடா
என்ன+pron+inter+voc=மா+colloq	என்னம்மா
என்ன+pron+inter+voc=டி+colloq	என்னடி
என்ன+pron+inter+voc=ஐயா+colloq	என்னய்யா
என்ன+pron+inter+voc=ங்க+colloq	என்னங்க
டேய்+interjection+voc+colloq	டேய்
பேர்+noun+nom+colloq	பேரு
அது+pron+dem+dist+3sgn+nom+foc=தான்+colloq	அதான்
அது+pron+dem+dist+3sgn+nom+all=எல்லாம்	அதெல்லாம்
இது+pron+dem+prox+3sgn+acc+all=எல்லாம்	இதையெல்லாம்
ஓகே+interjection+loan	ஓகே
வேண்டு+modal+neg+prohib+ques=ஆ	வேண்டாமா
இப்படி+adv+foc=ஏ	இப்படியே
எதிர்+pp-particle+trans=ஆக+add=உம்	எதிராகவும்
ஒரு+cardinal+det+lexlemma=விதம்+noun+compoundmodifier	ஒருவித
சர்ச்சை+noun+dat+lexlemma=உரிய+adj	சர்ச்சைக்குரிய
மூன்று+cardinal+colloq	மூணு
போது+pp-particle+all=எல்லாம்	போதெல்லாம்
முதல்+pp-particle+redup+loc	முதன்முதலில்
தனி+adj+lexlemma=நபர்+noun+compoundmodifier	தனிநபர்
மதியம்+noun+compoundmodifier	மதிய
சதவிகிதம்+noun+compoundmodifier	சதவிகித
காற்று+noun+compoundmodifier+lexlemma=அழுத்தம்+noun+compoundmodifier	காற்றழுத்த
காலம்+noun+gen+compoundmodifier	காலத்து
போ+verb+nonfin+sim+vpart=இ+colloq	போயி
ஏது+noun+trans=ஆக	ஏதுவாக
என்+verb+nonfin+sim+con=இன்	எனின்
தக்க+adj+PartNoun=அது+nom	தக்கது
ஒன்று+cardinal+nom+add=உம்+exist=இல்லை+neg	ஒன்றுமில்லை
இப்போது+adv+time+adjpart=ஐய	இப்போதைய
திட்டமிடு+verb+nonfin+sim+verbalnoun=தல்	திட்டமிடல்
எப்போது+adv+time+indef=ஆவது	எப்போதாவது
என்று+comp+redup+add=உம்	என்றென்றும்
அதிர்ஷ்டவசம்+noun+trans=ஆக+adv	அதிர்ஷ்டவசமாக
இது+pron+dem+prox+3sgn+lexlemma=வரை+pp-particle+colloq	இதுவரைக்கும்
மேலும்+adv+redup	மென்மேலும்
எங்கு+adv+inter+indef=ஓ	எங்கேயோ
நான்+pron+1sg+acc+register=literary	எனை
அடடா+interjection	அடடா
எழுபது+cardinal	எழுபது
ஐயையோ+interjection	ஐயையோ
எல்லை+noun+priv=அற்ற+adj	எல்லையற்ற
ஒன்று+cardinal+trans=ஆக	ஒன்றாய்
புதிய+adj+PartNoun=அது+nom+alt	புதிது
கிட்டத்தட்ட+adv+colloq	கிட்டதட்ட
மற்ற+adj+PartNoun=அது+nom	மற்றது
அய்யோ+interjection	அய்யோ
விலை+noun+exist=இல்லை+neg+adjpart=ஆ	விலையில்லா
எல்லாம்+quant+colloq	எலாம்
எத்துணை+quant+interrogative	எத்துணை
ஒன்று+cardinal+nom+ques=ஓ	ஒன்றோ
எங்கு+adv+inter+indef=ஆவது	எங்கேயாவது
ஒழுங்கு+noun+trans=ஆக+cop+adjpart=ஆன	ஒழுங்கான
படி+pp-particle+inst=ஆல்	படியால்
அடடே+interjection	அடடே
ஏது+quant+interrogative	ஏது
அது+pron+dem+dist+3sgn+nom+register=literary	அஃது
அது+pron+dem+dist+3sgn+deictic	அதோ
ஒழுங்கு+noun+trans=ஆக+adv	ஒழுங்காக
மன்றம்+noun+loc+register=literary	மன்றில்
ஊர்+noun+nom+colloq	ஊரு
தலைகீழ்+adv	தலைகீழ்
தலைகீழ்+adv+trans=ஆக	தலைகீழாக
சபாஷ்+interjection+loan	சபாஷ்
வாவ்+interjection+loan	வாவ்
அது+pron+dem+dist+3sgn+comp=ஆவது+register=literary	அஃதாவது
என்ன+pron+inter+exclam	என்னே
ஆள்+noun+exist=இல்லை+neg+adjpart=ஆ	ஆளில்லா
ஏனை+quant+other	ஏனை
ஆகா+interjection	ஆகா
வாபஸ்+adv+loan	வாபஸ்
யாது+quant+indef	யாது
யாது+quant+indef+add=உம்	யாதும்
பரிசுத்த+adj	பரிசுத்த
அதீத+adj	அதீத
உள்+verb+fin+sim+exist=pos+3pln=அன+register=literary	உள
பெரிய+adj+lexlemma=மக்கள்+noun+human+pl+nom	பெருமக்கள்
